,# of trees,feature,%,std,median,mean,depth,node #,# samples (mean),# samples (median)
138,68,WOA_TEMP_K,13.600000000000001,3.6147181463824856,26.632501220703148,25.288395331887653,4,28,43.33846153846154,11.0
139,65,SWrad,13.0,46.294886943398694,249.88157653808594,243.23617506760817,4,28,43.33846153846154,11.0
144,61,SWrad,12.2,54.367000739901535,249.76449584960938,239.9463993760406,4,29,45.18032786885246,27.0
143,81,WOA_TEMP_K,16.2,1.872580371965952,26.485131835937523,25.91045343846453,4,29,45.18032786885246,27.0
141,97,WOA_Nitrate,19.400000000000002,1.8352188554067534,1.370165467262268,1.5336624959426135,4,29,45.18032786885246,27.0
140,172,WOA_MLDpt,34.4,31.170516219547007,-2.0,21.157267160193864,4,29,45.18032786885246,27.0
142,89,WOA_Salinity,17.8,0.8375301600865638,36.42671203613281,36.024509172761036,4,29,45.18032786885246,27.0
148,73,WOA_TEMP_K,14.6,1.9888378130995852,25.367639160156273,25.083663898624806,4,30,12.6,6.0
145,194,WOA_MLDpt,38.800000000000004,32.60886277015746,-2.0,27.107474189443685,4,30,12.6,6.0
146,87,WOA_Salinity,17.4,0.6534868001024051,36.03120422363281,36.03164396614864,4,30,12.6,6.0
147,86,SWrad,17.2,40.38111239856484,295.568603515625,276.10686634862145,4,30,12.6,6.0
149,60,WOA_Nitrate,12.0,2.2683851302356945,1.638966977596283,2.1445484900536638,4,30,12.6,6.0
